ssl,setting,method,true,pred,rate
xlsr,6way,uniform,cosyvoice3,cosyvoice3,0.5442359249329759
xlsr,6way,uniform,cosyvoice3,chatterbox,0.3753351206434316
xlsr,6way,uniform,cosyvoice3,indextts,0.04289544235924933
xlsr,6way,uniform,chatterbox,real,0.0
xlsr,6way,uniform,chatterbox,f5tts,0.0
xlsr,6way,uniform,chatterbox,xtts,0.010723860589812333
xlsr,6way,uniform,chatterbox,cosyvoice3,0.10723860589812333
xlsr,6way,uniform,chatterbox,chatterbox,0.8498659517426274
xlsr,6way,uniform,chatterbox,indextts,0.032171581769437
xlsr,6way,uniform,indextts,real,0.010723860589812333
xlsr,6way,uniform,indextts,f5tts,0.00804289544235925
xlsr,6way,uniform,indextts,xtts,0.03485254691689008
xlsr,6way,uniform,indextts,cosyvoice3,0.08310991957104558
xlsr,6way,uniform,indextts,chatterbox,0.16085790884718498
xlsr,6way,uniform,indextts,indextts,0.7024128686327078
xlsr,6way,tiebreak_distance,real,real,0.45576407506702415
xlsr,6way,tiebreak_distance,real,f5tts,0.0160857908847185
xlsr,6way,tiebreak_distance,real,xtts,0.09651474530831099
xlsr,6way,tiebreak_distance,real,cosyvoice3,0.1903485254691689
xlsr,6way,tiebreak_distance,real,chatterbox,0.1260053619302949
xlsr,6way,tiebreak_distance,real,indextts,0.11528150134048257
xlsr,6way,tiebreak_distance,f5tts,real,0.002680965147453083
xlsr,6way,tiebreak_distance,f5tts,f5tts,0.9544235924932976
xlsr,6way,tiebreak_distance,f5tts,xtts,0.032171581769437
