ssl,layer,protocol,k,weighting,macro_f1,same_utt_frac_topk,tie_rate
wavlm,21,leave_spk,3,distance,0.6855377456028027,0.0,0.0
wavlm,21,leave_spk,5,uniform,0.7327933692854027,0.0,0.17747989276139411
wavlm,21,leave_spk,5,distance,0.7474047402198629,0.0,0.0
wavlm,21,leave_spk,7,uniform,0.7538159787405172,0.0,0.12332439678284182
wavlm,21,leave_spk,7,distance,0.7578972483386774,0.0,0.0
wavlm,21,leave_spk,11,uniform,0.7653037870319275,0.0,0.10187667560321716
wavlm,21,leave_spk,11,distance,0.7742251482192236,0.0,0.0
hubert,17,loo,1,uniform,0.05629578116899462,0.9576407506702412,0.0
hubert,17,loo,1,distance,0.05629578116899462,0.9576407506702412,0.0
hubert,17,loo,3,uniform,0.08837829412210078,0.925290437890974,0.9319034852546917
hubert,17,loo,3,distance,0.07365748211982683,0.925290437890974,0.0
hubert,17,loo,5,uniform,0.29144924495329727,0.6815013404825737,0.4691689008042895
hubert,17,loo,5,distance,0.14932605707876123,0.6815013404825737,0.0
hubert,17,loo,7,uniform,0.4824874436391296,0.49513596323247794,0.46863270777479893
hubert,17,loo,7,distance,0.2757678331207473,0.49513596323247794,0.0
hubert,17,loo,11,uniform,0.6144596301793718,0.3197660248598586,0.2193029490616622
hubert,17,loo,11,distance,0.38696359836533734,0.3197660248598586,0.0
